uid,vbm_vac,cbm_vac
Ag2Ni2I6-0bf3bb0cc838,-5.942177251376947,-3.8947555390348385
Nb3I8-7a3db0aea4eb,-4.447964692737093,-3.6234939185948116
Cr2Ge2Te6-494eb20d87cf,-4.976244018104959,-4.1022051977511165
Cl2Ga2Te2-f14f92f16185,-7.051936279890347,-4.15865596269934
Mg2P2Se6-b590f2f91f9c,-6.528425177725723,-3.564363037582411
I2Nb4Te12-56d4cc450d20,-4.932480390744768,-3.7979063295062163
Pd2I4O12-0e4b12baccea,-7.08724627154497,-4.355256727970011
In2Se3-1f1215531144,-6.2652786715473106,-4.833044467001992
Br4Cd4-4abaff3d73f4,-6.021354039133355,-4.2505259543651235
Zr2Cl4-05e387003989,-4.699689390274822,-3.5391351959130013
Br2I2Zr2-a00011c64bba,-4.350279196452266,-3.3524389883076893
Al2Te2-1584210aaef9,-5.634128417670434,-3.03603267372711
Au2O2-c99b8d2aa925,-5.9100565695334595,-5.045006508603819
Ge2H2-c6017e131897,-5.2182371804629035,-3.729886546095807
I2In2-9ab97b2e26fc,-5.723371357173343,-4.388735643869756
CdI2-b474b300c0f6,-6.617451012493092,-3.6251716990328386
Hf2Cl4-ddc64205f942,-4.7366494510791775,-3.311788065040826
Os2S4-e187219404db,-6.060206027047308,-4.673354480262289
PdSe2-f7acacb69123,-5.675054066511809,-4.768751126449447
TiCl2-95688ba68ca1,-3.9896848125126505,-2.5942165586632906
Zr2Br4-112846d9ccdd,-4.48489198413976,-3.3467096560486187
CF2Sc2-b592b469c203,-5.359035358593837,-3.2924523105831667
SSb2Te2-46c4fdc6b66a,-5.246096937726311,-4.356381744139652
WAg2S4-b2684e86acec,-6.266173850508426,-3.783852681352374
Ti2I6-0e99355f14de,-5.014114605975705,-3.8726918668408197
CrMo3Se8-a7233837cfe9,-5.240880098506124,-3.8086902923876695
MoW3Se8-24d6cc0a0fed,-5.072779394749577,-3.3241555802704488
Bi2Br2Se2-d2aaca216b91,-7.055306600737101,-5.815048949725257
Cr2I2Se2-b4069f8b7f1c,-5.783345220080217,-4.887850198259814
I2Ir2S2-3b5f1a6b5904,-5.17962819577811,-4.181903825720369
MoSTe-e4bb8738150a,-5.324557985682551,-3.7393311684996484
STeW-75ee10091f43,-5.183599494494899,-3.5029748960495906
Ag2Br2Se4-c7e3d505588c,-6.831152557397258,-4.569261566971812
Br2Cu2Te4-af27d0354197,-6.437454161954487,-4.138356381413294
Cd2P2S6-ebcb2404504e,-6.876460406559326,-3.9557945613069587
Ge2P2Se6-6152fa4b5f1b,-5.637414964996138,-4.017640149875221
